accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.68,-0.7,1.71,1.25,-0.42,-0.75
-0.68,-0.69,1.72,-0.15,-3.59,-0.44
-0.71,-0.72,1.69,-1.01,0.38,-3.62
-0.71,-0.7,1.68,5.16,4.41,-7.28
-0.69,-0.71,1.78,1.62,0.38,-14.85
-0.78,-0.83,1.72,-10.53,13.5,-22.35
-0.84,-0.61,1.73,-15.23,-25.68,-5.45
-0.69,-0.66,1.69,-0.82,-32.95,11.34
-0.67,-0.87,1.92,46.17,-13.97,-48.54
-0.63,-0.73,1.75,21.64,-0.54,4.75
-0.82,-0.41,1.6,-57.59,-50.83,69.63
-0.84,-0.52,1.66,-3.2,-28.68,1.02
-0.59,-0.77,1.62,-6.26,35.9,-40.24
-0.68,-0.7,1.79,34.76,-38.07,-8.5
-0.9,-0.4,1.16,-48.37,-22.21,8.41
-0.97,-0.45,1.6,-43.18,3.49,-37.0
-0.54,-0.86,1.91,26.28,41.76,-64.35
0.03,-0.33,2.0,60.09,-8.72,52.6
-0.94,-0.86,1.75,6.44,-52.72,111.98
-0.74,-0.9,1.44,-14.25,-22.39,37.03
-0.68,-0.74,1.66,-16.63,37.49,-32.06
-0.66,-0.6,1.78,-4.12,16.49,-10.64
-0.69,-0.69,1.67,7.05,-4.51,9.08
-0.65,-0.74,1.68,5.4,-5.12,4.99
-0.68,-0.7,1.74,-1.56,1.96,-0.2
-0.67,-0.69,1.69,-1.37,-6.15,2.91
-0.66,-0.71,1.68,1.86,-2.19,1.02
-0.66,-0.72,1.68,0.28,-2.61,2.36
-0.66,-0.71,1.67,2.23,-0.05,-1.79
