accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.79,-0.65,1.98,-1.6,13.99,-18.31
-0.78,-0.62,2.0,-4.29,15.15,-18.98
-0.79,-0.63,1.99,3.77,12.96,-12.03
-0.83,-0.63,2.08,-8.87,23.64,-16.6
-0.9,-0.71,1.99,-16.92,32.36,-31.07
-0.6,-0.54,2.18,-42.25,2.09,36.98
-0.85,-0.58,2.02,1.2,-22.32,-0.0
-0.85,-0.61,2.07,42.53,-38.25,-64.4
-0.72,-0.86,2.3,24.28,9.48,-15.08
-0.79,-0.82,2.49,-32.55,-62.0,42.29
-1.01,-0.38,1.72,-38.41,-43.81,-17.34
-0.8,-0.55,1.8,-39.81,15.46,-61.1
-1.01,-0.32,1.78,22.57,70.88,-48.71
-0.85,-0.27,2.34,25.62,-107.95,160.64
-0.77,-0.71,1.58,0.59,-41.91,75.13
-0.88,-0.82,1.75,-14.18,-2.61,25.51
