accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.84,-0.63,1.94,6.87,-5.46,-5.74
-0.82,-0.6,2.07,9.55,7.96,-3.66
-0.88,-0.58,1.99,4.91,4.61,-8.12
-0.89,-0.61,2.01,5.04,5.03,-18.01
-0.87,-0.59,2.06,1.56,2.29,-23.74
-0.96,-0.67,2.02,-4.42,-3.69,-27.59
-0.85,-0.61,1.91,-9.25,25.24,2.26
-1.06,-0.35,1.69,53.38,-1.68,13.79
-0.86,-0.55,2.4,72.3,-24.02,-48.16
-0.73,-0.73,2.32,-2.71,-64.3,-39.31
-0.66,-0.68,1.62,-65.28,-24.63,46.39
-0.9,-0.43,1.61,-34.45,51.73,34.54
-1.22,-0.33,1.97,82.0,50.69,38.76
-1.18,-0.35,2.53,27.86,-79.32,-96.56
-0.91,-0.82,1.86,28.17,-118.5,120.54
-0.75,-0.77,1.55,-2.35,29.26,80.2
-0.82,-0.8,1.82,-5.03,22.49,-24.6
-0.79,-0.53,1.97,-15.84,42.63,-41.14
-0.79,-0.47,2.02,-9.55,9.06,-5.8
-0.82,-0.61,1.93,4.61,-15.47,10.92
-0.79,-0.62,1.91,5.65,-4.79,11.59
