accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.69,-0.67,1.9,6.93,13.64,-5.65
-0.68,-0.65,1.89,2.96,2.66,-1.74
-0.67,-0.65,1.87,5.4,0.83,-4.3
-0.68,-0.66,1.87,3.15,1.8,-6.01
-0.69,-0.78,1.77,1.99,29.33,-27.44
-0.68,-0.61,1.73,-16.69,-33.9,3.88
-0.72,-0.49,1.64,43.31,42.94,-70.77
-0.77,-0.65,2.02,67.17,76.08,-28.53
-0.57,-0.63,1.89,-10.34,-93.41,101.65
-0.81,-0.87,1.72,-37.2,16.88,0.52
-0.91,-0.53,1.81,-12.42,-59.36,12.66
-0.58,-0.64,1.72,-42.75,-30.55,-49.53
-0.54,-0.6,1.45,-35.31,106.66,-27.25
-1.05,-0.56,2.57,70.77,86.52,-1.8
-1.07,-0.55,1.94,-11.75,-183.56,165.31
-0.39,-1.04,1.09,6.81,-61.61,56.3
-0.63,-0.77,1.78,-5.46,81.21,-54.9
-0.64,-0.53,1.89,-21.33,40.07,-34.09
-0.56,-0.57,1.86,4.06,7.17,8.64
-0.64,-0.72,1.83,3.33,-4.18,16.75
