accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.73,-0.71,1.76,-25.14,26.14,-53.4
-0.75,-0.71,1.77,-23.74,31.69,-54.14
-0.73,-0.71,1.73,-24.35,27.54,-57.19
-0.74,-0.72,1.74,-25.2,32.67,-62.5
-0.78,-0.76,1.76,-26.79,43.11,-68.36
-0.26,-0.67,1.89,-42.05,28.21,-38.57
-0.85,-0.57,1.64,-8.91,84.18,-31.31
-0.9,-0.62,1.93,31.44,31.39,-59.2
-0.77,-0.75,2.08,3.3,-43.14,-79.53
-0.51,-0.8,1.51,-55.48,24.61,-49.25
-0.9,-0.57,1.65,-35.03,32.24,-44.49
-0.73,-0.66,1.69,-41.74,42.5,-42.72
-0.54,-0.61,1.89,43.16,9.11,-128.17
-0.63,-0.75,1.84,61.04,25.65,-124.75
-0.94,-0.5,1.61,-6.34,-31.23,50.6
-0.93,-0.75,1.63,-33.2,52.38,52.37
-0.82,-0.88,1.56,-57.61,35.6,-33.87
-0.67,-0.71,1.58,-40.16,64.9,-65.37
-0.7,-0.68,1.71,-29.6,49.64,-65.37
