accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.76,-0.68,1.92,-1.18,-21.59,40.16
-0.74,-0.74,1.84,0.35,-32.7,37.29
-0.73,-0.7,1.84,-6.42,-9.5,19.1
-0.76,-0.71,1.92,-0.5,-15.55,29.3
-0.75,-0.72,1.9,-3.19,-21.34,32.65
-0.77,-0.77,1.9,-9.78,-16.77,23.87
-0.46,-0.69,1.95,-17.72,-9.2,51.88
-0.81,-0.66,1.92,-1.3,-20.92,34.42
-1.04,-0.22,0.55,-29.5,37.25,31.92
-0.94,-0.55,1.88,53.51,-62.91,-3.6
-0.75,-0.67,1.82,27.21,-49.97,22.77
-0.73,-0.73,1.5,-36.15,0.75,83.44
-0.93,-0.59,1.93,24.46,42.5,72.57
-0.75,-0.7,1.87,12.25,-39.41,33.81
-0.7,-0.43,2.0,-6.67,-148.18,101.14
-0.7,-1.01,1.59,-0.75,-106.61,74.59
-0.73,-1.06,1.52,-6.61,-3.03,24.9
-0.63,-0.69,1.77,-22.05,40.18,-23.25
-0.65,-0.58,1.99,-0.2,-15.91,27.28
-0.68,-0.78,1.72,2.98,-41.61,48.89
-0.71,-0.81,1.74,-3.8,-9.32,21.61
