accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.67,1.74,-20.73,27.01,-33.64
-0.6,-0.71,1.75,-22.44,18.59,-35.29
-0.62,-0.73,1.69,-28.05,32.39,-60.13
-0.64,-0.76,1.65,-34.03,74.07,-75.33
-0.61,-0.72,1.55,-23.96,118.75,-90.83
-0.7,-0.55,1.69,18.09,68.52,4.81
-0.83,-0.54,2.02,61.37,62.48,-33.09
-0.91,-0.64,2.16,1.73,24.02,-54.52
-0.56,-0.52,1.16,-48.93,19.93,-50.98
-0.55,-0.67,1.65,15.16,74.32,-53.3
-0.53,-0.65,1.79,179.9,109.17,52.23
-0.79,-0.18,2.31,-30.13,-46.53,205.43
-1.05,-1.04,1.79,-71.2,36.78,-12.83
-0.47,-0.58,1.47,-31.1,29.76,-77.77
-0.48,-0.64,1.73,10.77,11.08,-18.75
