accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.81,-0.68,1.96,-12.92,30.35,-38.82
-0.8,-0.59,2.03,-14.33,25.89,-34.12
-0.83,-0.59,2.02,-2.18,13.69,-31.86
-0.85,-0.56,2.13,1.36,11.06,-26.92
-0.85,-0.56,2.09,-3.65,5.57,-13.79
-0.92,-0.59,2.15,-8.96,-5.91,-8.55
-0.88,-0.54,1.99,-1.08,-9.63,-17.88
-0.94,-0.38,2.03,-12.25,-60.41,-6.53
-0.76,-0.74,1.98,33.46,-63.71,-22.16
-0.94,-0.67,1.97,-1.63,13.26,8.06
-0.98,-0.67,2.09,1.36,63.43,-15.99
-0.66,-0.34,2.08,-50.7,48.29,59.63
-1.55,0.05,1.43,15.46,25.95,4.82
-0.83,-0.66,2.69,84.0,17.96,-58.35
-0.95,-0.52,2.26,17.72,-78.66,-31.31
-0.96,-0.48,1.73,-38.13,13.07,0.55
-0.85,-0.46,1.9,12.71,-13.29,79.77
-1.2,-0.79,1.84,54.03,53.3,44.98
0.98,0.24,2.59,-62.85,-76.89,-4.52
-1.21,-0.3,2.46,-55.53,-84.64,-1.77
-0.66,-0.58,1.23,-10.18,8.56,-21.49
-0.78,-0.17,2.05,58.18,-13.48,90.51
-0.97,-0.65,2.19,26.32,-75.79,86.06
-0.92,-0.84,1.77,2.21,-48.45,35.4
-0.89,-0.76,1.77,-12.74,38.95,-44.01
