accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.56,-0.75,1.67,18.14,-0.08,2.37
-0.59,-0.76,1.67,21.43,-1.85,4.38
-0.59,-0.74,1.65,23.51,3.53,6.7
-0.59,-0.76,1.69,21.07,3.16,7.86
-0.6,-0.8,1.63,21.07,8.65,1.21
-0.72,-0.89,1.61,11.06,47.96,-34.92
-0.72,-0.67,1.76,26.93,-3.49,9.02
-1.05,-0.04,1.11,11.79,12.07,11.22
-0.61,-0.77,1.99,78.14,-61.6,-30.04
-0.5,-0.84,1.82,-20.74,-65.32,-5.38
-0.54,-0.62,1.09,-24.46,39.54,42.59
-0.66,-0.71,1.63,16.43,-33.77,8.72
-0.41,-0.84,1.81,55.25,-21.74,-79.72
-0.45,-0.78,1.85,67.88,25.99,-65.75
-0.72,-0.66,1.78,80.39,-123.18,182.54
-0.55,-0.87,1.19,23.33,-9.35,129.38
-0.65,-1.09,1.38,23.2,2.92,23.91
-0.42,-0.8,1.49,-28.13,64.38,-49.94
