accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.85,-0.63,2.13,-9.1,12.52,-20.52
-0.85,-0.64,2.13,-10.99,14.47,-23.33
-0.86,-0.63,2.14,-12.64,11.91,-24.24
-0.87,-0.64,2.13,-14.1,13.62,-31.02
-0.85,-0.66,2.1,-14.23,26.92,-35.47
-0.87,-0.63,2.16,-15.81,42.12,-41.33
-0.87,-0.55,2.21,-18.38,30.83,-33.4
-0.91,-0.61,2.23,-11.91,10.99,-22.78
-0.86,-0.58,2.14,-14.53,15.57,-24.73
-0.92,-0.67,2.25,-20.27,25.27,-39.81
-0.92,-0.55,2.07,-10.14,50.18,-50.06
-0.98,-0.45,2.29,0.48,26.01,-20.09
-0.92,-0.56,2.28,16.54,-29.23,-5.57
-0.94,-0.74,2.14,-3.36,-8.42,-12.46
-0.91,-0.73,2.17,-21.86,19.29,-44.57
-0.89,-0.33,2.08,-51.95,25.34,9.94
-0.97,-0.44,2.22,3.35,18.07,-30.35
-0.99,-0.63,2.19,4.82,-28.19,3.59
-0.91,-0.69,2.13,-6.35,7.88,-13.01
-0.93,-0.6,2.11,-9.65,34.43,-28.27
-1.1,-0.76,2.19,-24.42,72.21,-62.51
-0.98,-0.58,2.22,-11.17,-28.07,-28.82
-1.55,-0.03,2.42,-23.63,-1.4,-31.32
-0.79,-0.66,2.2,-21.06,29.3,-78.14
-0.92,-0.57,2.24,32.89,-42.29,-32.42
-1.04,-0.41,1.76,-76.6,26.31,49.12
-1.12,-0.42,2.14,-36.69,33.15,-19.91
-0.93,-0.37,2.18,16.29,-5.3,-56.23
-1.02,-0.73,2.2,34.79,-46.14,69.45
-0.89,-0.86,2.09,11.96,-5.61,7.37
