accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.82,-0.44,1.92,186.5,203.14,-65.75
-0.83,-0.44,1.95,184.37,199.72,-60.69
-0.84,-0.46,1.91,185.53,197.83,-61.18
-0.88,-0.46,1.89,187.42,200.52,-72.53
-0.88,-0.44,1.93,190.65,211.69,-87.05
-0.8,-0.4,1.89,196.33,197.4,-86.81
-0.84,-0.41,2.01,185.22,204.97,-76.13
-0.91,-0.4,1.99,171.67,219.93,-65.2
-0.86,-0.33,1.97,169.23,230.85,-58.49
-0.98,-0.44,1.92,190.04,218.34,-58.18
-0.83,-0.39,2.02,196.45,209.55,-81.26
-0.95,-0.33,2.07,182.72,192.09,-60.08
-0.89,-0.37,1.95,194.5,162.61,-61.97
-0.86,-0.42,1.96,183.45,189.65,-57.15
-0.85,-0.38,1.95,172.71,243.55,-40.12
-0.97,-0.39,2.01,184.0,213.58,-45.67
-0.95,-0.32,1.92,220.38,179.52,-81.93
-0.85,-0.38,1.93,220.56,193.92,-85.53
-0.83,-0.43,1.99,192.67,208.21,-59.95
-0.9,-0.48,1.91,173.87,217.61,-42.56
-1.15,-0.54,1.84,184.06,237.81,-80.22
-1.51,0.22,1.86,157.45,193.13,-53.12
-1.04,-0.05,1.88,214.52,105.61,-136.31
-0.84,-0.44,2.01,203.41,229.75,-94.74
-0.58,-1.02,2.98,250.29,191.18,-80.77
-1.22,-0.13,1.58,168.07,209.73,-50.74
-1.11,-0.14,1.84,183.88,171.83,-101.76
-0.83,-0.5,2.05,186.87,210.34,-103.78
-0.6,-0.85,2.78,170.57,130.88,-24.8
-1.39,-0.13,1.62,143.05,297.81,-17.23
-1.05,-0.28,1.88,190.72,170.49,-56.54
-0.75,0.06,2.05,210.37,99.32,10.17
-0.96,-0.67,1.95,210.25,129.96,15.3
-0.96,-0.75,1.65,190.29,201.25,-39.2
