accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.9,-0.58,1.88,-1.65,21.3,-16.38
-0.79,-0.46,2.01,-2.75,8.85,-19.8
-0.82,-0.51,2.02,-3.6,-0.43,-12.53
-0.98,-0.65,1.97,-9.22,33.2,-49.09
-0.35,-0.42,2.21,-85.57,-23.44,67.79
-0.86,-0.47,2.08,16.97,-89.6,7.73
-0.7,-0.54,1.8,-23.74,-6.04,-68.26
-0.83,-0.49,2.01,25.7,28.87,-39.88
-0.54,-0.47,2.52,43.15,3.3,2.85
-1.12,-0.64,1.86,-20.94,-17.88,20.0
-0.95,-0.14,1.79,-37.35,8.67,36.42
-1.35,0.12,0.94,-18.25,43.34,9.74
-0.8,-0.45,1.85,123.05,57.86,-49.7
-0.4,0.16,2.61,-19.84,-60.36,77.62
-1.18,-0.81,1.92,0.61,-89.42,126.38
-0.75,-0.68,1.57,-9.95,-47.36,57.84
