accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.82,-0.61,1.73,10.82,3.34,-0.29
-0.82,-0.6,1.66,29.13,1.51,-10.42
-0.84,-0.55,1.75,47.38,11.52,-58.33
-0.86,-0.46,1.89,7.59,28.37,-3.09
-0.91,-0.47,1.82,-2.3,24.15,10.46
-0.97,-0.51,1.76,-24.03,101.61,3.5
-0.9,-0.49,1.76,19.24,10.42,-14.75
-0.96,-0.52,1.85,12.16,-18.27,-4.32
-0.84,-0.54,1.85,22.17,-10.51,-14.33
-0.92,-0.63,1.88,-10.17,-14.73,1.36
0.04,0.02,2.08,-11.88,-23.76,4.78
-0.99,-0.48,1.84,11.98,-41.7,27.61
-0.45,-0.71,2.13,52.81,-105.24,-52.84
-0.62,-0.66,1.61,-58.21,-1.85,9.97
-1.1,-0.36,1.74,-5.66,6.39,-0.35
-1.02,-0.25,1.62,52.57,-56.84,-78.11
-0.8,-0.66,1.89,69.05,143.17,-81.22
-0.98,-0.48,1.84,45.79,0.59,-0.41
-1.46,-0.16,2.12,26.63,32.7,118.18
-1.16,-0.43,3.13,-71.45,-90.47,64.29
-0.71,-0.33,0.69,-117.17,-22.48,-27.94
-0.88,0.11,1.38,-23.36,-55.92,78.27
-1.04,-0.45,2.07,98.35,-153.95,40.3
-0.85,-0.79,1.72,38.47,8.65,23.03
-0.84,-0.6,1.77,3.38,27.45,-11.33
-0.9,-0.49,1.67,2.46,12.8,-7.18
-0.85,-0.45,1.75,4.9,9.26,5.88
