accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.61,-0.75,1.66,4.43,-0.44,1.33
-0.62,-0.76,1.67,5.22,0.41,1.63
-0.61,-0.76,1.69,7.42,-1.11,3.4
-0.62,-0.78,1.65,6.63,17.93,0.05
-0.6,-0.76,1.63,5.1,26.35,-4.59
-0.6,-0.72,1.71,1.93,40.02,0.17
-0.67,-0.74,1.67,15.17,21.71,12.8
-0.68,-0.74,1.65,15.6,7.0,6.27
-0.58,-0.76,1.63,31.22,-2.58,0.05
-0.61,-0.79,1.62,13.83,7.19,-2.15
-0.64,-0.8,1.59,24.81,20.19,-4.23
-0.69,-0.73,1.68,11.39,16.65,-30.96
-1.0,-0.58,1.88,2.6,-12.04,-4.41
-0.67,-0.7,1.56,-2.04,-90.17,8.16
-0.63,-0.87,1.48,11.14,0.66,17.99
-0.67,-0.81,1.43,24.87,47.96,-26.44
-0.95,-0.53,2.05,-55.39,33.8,21.1
-0.89,-0.7,2.13,-37.87,-88.88,-3.13
-0.54,-0.63,1.25,-39.76,-27.97,-23.21
-0.61,-0.67,1.5,-18.22,38.56,2.85
-0.76,-0.54,1.07,121.43,77.19,-2.03
-1.07,-0.87,2.2,77.0,47.1,-22.35
-1.11,-0.66,2.68,27.44,-123.31,-40.6
-0.64,-0.6,1.08,-18.52,-102.8,-13.99
-0.71,-0.61,1.46,-73.64,96.97,-10.94
-1.04,-0.28,2.22,21.4,14.94,111.19
-0.71,-0.83,1.64,37.45,-47.14,107.59
-0.76,-1.05,1.51,19.38,-45.43,31.3
-0.52,-0.72,1.37,-18.22,32.58,-26.81
-0.7,-0.71,1.59,-19.56,47.04,-27.97
-0.63,-0.64,1.65,-1.61,18.9,-10.15
-0.63,-0.68,1.59,-0.15,1.45,11.46
-0.64,-0.72,1.55,-5.09,3.58,9.32
