accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.3,-0.71,1.27,6.84,1.95,7.65
-0.29,-0.71,1.25,7.94,0.67,6.73
-0.29,-0.71,1.26,7.45,0.92,6.31
-0.3,-0.71,1.25,9.46,1.34,5.39
-0.3,-0.71,1.24,11.05,7.87,2.28
-0.28,-0.6,1.36,13.0,10.99,-4.19
-0.32,-0.7,1.26,2.08,-0.49,4.9
-0.37,-0.64,1.23,1.35,3.54,4.6
-0.31,-0.71,1.27,7.63,-9.52,1.67
-0.31,-0.71,1.26,-4.02,0.49,-7.12
-0.29,-0.7,1.25,-12.14,24.54,-5.47
-0.33,-0.73,1.3,-13.55,35.22,-1.81
-0.36,-0.71,1.28,-4.7,6.04,-0.29
-0.37,-0.72,1.29,-3.72,14.71,3.13
-0.44,-0.69,1.26,25.21,-22.83,0.57
-0.35,-0.71,1.26,32.66,-73.49,-8.04
-0.29,-0.73,1.28,30.52,-39.92,0.93
-0.3,-0.71,1.26,12.64,-0.92,7.1
-0.3,-0.67,1.22,3.24,7.69,2.89
-0.19,-0.68,1.2,6.84,6.35,23.7
-0.4,-0.68,1.29,1.96,-2.63,14.61
-0.3,-0.68,1.23,10.44,-18.13,9.72
-0.53,-0.67,1.35,-17.15,16.85,-24.76
-0.25,-0.68,1.21,-4.94,2.87,-36.72
-0.19,-0.68,1.18,7.39,2.14,-4.68
-0.35,-0.67,1.24,4.03,15.14,5.08
-0.36,-0.67,1.26,9.1,7.45,14.91
-0.44,-0.57,1.4,-16.35,-34.55,61.54
-0.2,-0.77,1.24,-21.66,-15.5,46.71
-0.17,-0.77,1.15,7.21,-3.54,21.69
-0.25,-0.72,1.25,4.15,12.08,5.39
-0.27,-0.74,1.25,5.62,11.78,4.9
-0.25,-0.73,1.26,4.89,9.83,4.35
