accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.13,-0.43,1.02,-27.74,186.29,37.6
0.14,-0.44,1.01,-26.89,186.72,37.24
0.13,-0.44,1.02,-24.99,187.69,35.96
0.11,-0.45,1.02,-23.89,191.35,32.54
0.1,-0.39,1.06,-33.35,192.33,33.03
0.12,-0.43,1.02,-27.5,179.15,38.15
0.11,-0.44,1.03,-32.5,189.46,35.16
0.11,-0.44,1.04,-32.5,188.97,35.83
0.12,-0.44,1.02,-31.58,187.08,38.4
0.11,-0.45,1.04,-31.89,190.8,40.9
0.12,-0.44,1.03,-27.68,188.85,50.73
0.06,-0.44,1.05,-29.33,192.21,49.08
0.16,-0.44,1.01,-21.03,175.73,53.23
0.1,-0.44,1.03,-19.99,174.69,47.74
0.11,-0.44,1.03,-5.77,154.18,51.76
0.15,-0.42,1.0,-10.47,156.44,42.0
0.2,-0.43,1.01,-12.54,156.99,37.24
0.2,-0.43,1.0,-15.84,159.37,32.78
0.25,-0.41,0.95,-27.43,169.32,28.75
0.25,-0.42,0.95,-37.51,185.8,27.78
0.22,-0.41,0.99,-40.5,192.51,31.44
0.21,-0.43,1.01,-43.79,201.49,33.76
0.19,-0.4,0.98,-41.78,203.56,35.47
0.15,-0.42,1.01,-35.12,199.04,37.24
0.15,-0.44,1.02,-34.09,199.23,35.77
0.09,-0.43,1.06,-15.78,184.46,29.3
0.14,-0.43,1.03,-5.77,159.07,25.64
0.15,-0.43,1.0,-6.32,158.76,26.98
0.17,-0.41,0.99,-8.51,166.94,29.12
0.19,-0.41,0.98,-16.75,179.21,27.84
0.19,-0.42,0.99,-21.76,171.64,37.42
0.15,-0.39,0.97,-23.28,181.77,39.25
0.14,-0.39,0.97,-23.59,207.28,37.36
0.11,-0.28,1.01,-63.93,109.26,128.12
0.41,-0.49,0.84,-55.45,108.77,88.51
0.35,-0.56,0.87,-32.32,141.85,83.99
0.45,-0.49,0.91,-32.44,180.06,48.04
0.4,-0.46,0.92,-30.97,184.27,42.73
0.44,-0.52,0.9,-20.6,191.78,42.18
0.37,-0.47,0.94,-28.66,205.7,27.9
0.4,-0.43,0.98,-25.24,193.0,38.09
0.38,-0.49,0.94,-28.78,196.79,30.28
0.38,-0.45,0.96,-27.8,198.5,31.01
0.35,-0.46,0.98,-27.37,189.83,36.81
