accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.41,-0.55,1.16,-0.43,-1.94,-1.53
-0.42,-0.56,1.17,-0.79,-2.92,-1.34
-0.41,-0.55,1.18,-0.91,0.13,-2.5
-0.41,-0.55,1.17,-2.2,5.81,-5.31
-0.46,-0.57,1.18,-1.71,4.71,-9.83
-0.47,-0.55,1.18,-0.61,8.86,-7.87
-0.47,-0.56,1.18,0.12,8.68,-8.3
-0.49,-0.55,1.2,2.63,4.47,-5.13
-0.51,-0.54,1.19,1.16,8.13,-7.14
-0.52,-0.55,1.18,1.71,0.62,-2.08
-0.5,-0.53,1.24,-0.91,-3.83,0.24
-0.52,-0.54,1.19,-3.66,-4.81,-1.28
-0.53,-0.55,1.2,-2.32,-3.59,0.12
-0.53,-0.55,1.2,-3.48,-1.64,0.0
-0.53,-0.55,1.2,-0.73,-8.05,-1.95
-0.52,-0.55,1.2,-5.25,0.62,-5.0
-0.56,-0.54,1.18,4.7,-11.4,-7.57
-0.53,-0.53,1.19,15.26,-22.15,-6.53
-0.54,-0.5,1.15,20.69,-28.0,-1.34
-0.49,-0.57,1.2,24.72,-33.99,1.1
-0.48,-0.55,1.18,7.87,-7.99,0.67
-0.5,-0.51,1.15,6.29,-17.69,1.16
-0.49,-0.54,1.18,-11.66,-1.09,2.87
-0.51,-0.52,1.17,-14.22,-1.39,1.28
-0.54,-0.51,1.17,-13.18,-0.17,-7.51
-0.49,-0.51,1.15,-7.93,6.42,-15.44
-0.52,-0.52,1.17,-2.38,11.91,-14.65
-0.53,-0.52,1.17,4.64,-1.64,-9.89
-0.55,-0.5,1.16,8.73,-0.29,-5.43
-0.54,-0.53,1.18,11.05,-7.37,-0.43
-0.53,-0.52,1.17,12.57,-10.98,3.17
-0.5,-0.51,1.14,8.73,-10.67,8.67
-0.51,-0.53,1.18,5.01,-22.21,15.38
-0.56,-0.5,1.16,5.37,-47.41,17.64
-0.49,-0.47,1.13,0.43,-23.85,11.05
-0.38,-0.21,1.58,17.58,-46.32,44.25
-0.48,-0.55,1.13,-16.17,-94.78,72.08
-0.23,-0.63,1.04,-1.65,-44.24,35.58
-0.29,-0.61,1.09,0.86,-10.18,3.66
-0.28,-0.54,1.12,-2.26,4.71,-2.75
-0.3,-0.58,1.1,2.93,-6.64,3.05
-0.27,-0.57,1.09,-1.83,-2.61,0.0
-0.3,-0.56,1.14,-0.37,0.93,-0.55
-0.3,-0.57,1.11,0.79,-1.7,-1.4
-0.31,-0.57,1.1,-0.12,1.6,-4.39
-0.33,-0.56,1.14,0.55,-5.91,1.95
