accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.35,-0.64,1.26,3.45,-13.02,-10.9
-0.37,-0.65,1.22,1.92,-4.66,-7.23
-0.33,-0.62,1.23,0.82,2.06,-17.43
-0.36,-0.61,1.27,0.03,2.73,-18.46
-0.34,-0.6,1.24,1.68,1.26,-16.14
-0.39,-0.63,1.24,2.11,12.37,-19.44
-0.4,-0.61,1.22,3.33,8.77,-20.17
-0.43,-0.53,1.3,-12.97,5.29,-11.2
-0.45,-0.62,1.25,-5.89,-8.08,-4.85
-0.45,-0.61,1.26,-2.29,-4.29,-4.3
-0.44,-0.63,1.26,-8.94,2.85,-4.97
-0.44,-0.62,1.26,-9.8,8.89,-4.24
-0.43,-0.64,1.27,-5.03,-2.03,2.23
-0.46,-0.63,1.27,-1.37,-1.3,8.64
-0.42,-0.63,1.26,2.11,-1.73,12.36
-0.42,-0.63,1.26,11.32,-13.26,17.97
-0.47,-0.63,1.27,9.74,-7.89,9.06
-0.43,-0.62,1.25,18.53,-16.62,9.43
-0.42,-0.63,1.27,22.43,-27.12,4.79
-0.5,-0.64,1.25,14.92,-15.58,-4.06
-0.39,-0.6,1.22,11.44,-16.8,-6.87
-0.4,-0.58,1.22,4.98,-18.82,-12.18
-0.39,-0.58,1.21,-4.49,-15.34,-19.01
-0.34,-0.59,1.17,-2.1,-12.9,-11.99
-0.35,-0.58,1.17,0.52,-13.87,-4.55
-0.39,-0.58,1.19,3.75,-10.33,1.13
-0.37,-0.58,1.18,0.34,-3.8,-2.17
-0.38,-0.58,1.2,0.64,6.33,-0.52
-0.4,-0.58,1.21,-1.07,17.07,3.33
-0.42,-0.42,1.26,-37.38,-57.7,65.76
-0.39,-0.71,1.14,-8.39,-53.0,72.97
-0.15,-0.79,1.04,5.59,-23.82,24.57
-0.24,-0.64,1.16,0.7,8.53,-3.63
-0.24,-0.66,1.17,-2.59,1.87,-2.11
-0.23,-0.63,1.19,0.46,6.08,-1.43
-0.23,-0.66,1.19,-3.45,6.7,-3.82
-0.24,-0.64,1.19,1.31,4.99,-4.18
-0.25,-0.64,1.18,-0.76,1.87,-5.77
-0.26,-0.63,1.21,-0.7,0.16,-3.2
-0.26,-0.63,1.2,-0.76,-1.0,-0.03
