accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.41,-0.7,1.33,2.57,-1.76,-1.89
-0.42,-0.73,1.33,0.8,0.01,-2.69
-0.41,-0.72,1.32,0.61,-1.45,-1.77
-0.41,-0.72,1.32,-0.3,2.21,-4.52
-0.42,-0.73,1.31,-0.18,9.72,-8.79
-0.44,-0.73,1.32,1.83,8.8,-10.68
-0.46,-0.71,1.33,5.31,14.66,-16.72
-0.47,-0.63,1.34,-12.21,0.74,-6.35
-0.47,-0.7,1.33,-1.83,-13.11,-3.36
-0.46,-0.71,1.33,-5.06,-7.68,-5.98
-0.47,-0.72,1.34,-5.0,-2.25,-3.17
-0.49,-0.7,1.34,-0.55,-1.03,-14.22
-0.48,-0.71,1.35,12.88,-20.01,-10.93
-0.49,-0.66,1.29,17.52,-16.65,-11.78
-0.47,-0.7,1.33,23.87,-32.89,-8.79
-0.46,-0.68,1.31,12.64,-4.2,-7.69
-0.45,-0.71,1.32,1.71,-1.21,-0.73
-0.49,-0.67,1.31,5.01,-7.74,-1.71
-0.44,-0.53,1.14,-31.68,23.75,-2.5
-0.44,-0.69,1.31,-10.8,8.43,3.3
-0.47,-0.67,1.3,-4.39,3.19,4.21
-0.46,-0.68,1.29,1.1,-16.22,12.69
-0.45,-0.7,1.32,4.27,-4.32,13.3
-0.42,-0.67,1.27,12.82,-8.96,18.25
-0.49,-0.67,1.33,14.1,-19.03,8.3
-0.46,-0.66,1.29,24.48,-25.5,2.14
-0.41,-0.68,1.29,18.68,-19.4,-5.55
-0.4,-0.68,1.27,8.18,-10.61,-5.86
-0.42,-0.68,1.27,-11.11,-12.26,-17.82
-0.38,-0.66,1.23,-4.45,-7.56,-8.3
-0.43,-0.67,1.27,-0.97,-6.4,-5.8
-0.42,-0.67,1.25,-2.81,-5.6,-6.9
-0.43,-0.66,1.28,2.87,0.56,-2.32
-0.35,-0.6,1.18,27.53,7.4,16.42
-0.54,-0.77,1.12,7.14,-90.08,91.0
-0.19,-0.8,1.08,10.19,-27.09,17.46
-0.28,-0.71,1.22,7.81,13.38,-11.6
-0.38,-0.7,1.23,2.32,-5.66,1.46
-0.28,-0.71,1.16,-0.18,7.58,-3.54
-0.34,-0.67,1.28,0.67,9.17,-5.07
-0.31,-0.7,1.21,0.0,1.23,-2.2
-0.33,-0.69,1.23,2.02,5.14,-4.21
