accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.44,-0.73,1.33,5.05,-6.37,-4.23
-0.44,-0.72,1.34,5.66,-5.51,-7.28
-0.47,-0.73,1.34,7.19,-0.45,-12.71
-0.46,-0.72,1.34,5.97,9.44,-15.64
-0.47,-0.71,1.36,6.52,2.48,-13.69
-0.53,-0.65,1.36,-2.45,-1.67,-6.06
-0.49,-0.71,1.35,-0.13,-11.5,-3.01
-0.5,-0.71,1.36,-0.07,-5.88,-2.03
-0.51,-0.71,1.36,-2.45,1.26,-1.18
-0.51,-0.71,1.37,-2.27,-0.57,1.27
-0.47,-0.71,1.35,0.17,5.96,5.48
-0.6,-0.72,1.42,5.85,-0.02,6.21
-0.5,-0.7,1.35,17.44,-15.89,10.36
-0.54,-0.73,1.4,23.73,-21.44,6.7
-0.52,-0.72,1.38,30.87,-39.15,5.05
-0.47,-0.7,1.34,23.12,-26.63,-3.31
-0.48,-0.68,1.33,20.92,-32.43,-10.15
-0.45,-0.69,1.31,9.2,-19.67,-14.05
-0.43,-0.68,1.28,2.31,-14.18,-13.57
-0.43,-0.64,1.27,2.12,-10.34,-10.88
-0.44,-0.58,1.49,13.17,8.28,5.42
-0.48,-0.68,1.3,-7.4,-16.5,20.61
-0.44,-0.73,1.29,-5.44,-27.55,7.37
-0.43,-0.72,1.32,-1.66,-2.1,2.43
-0.42,-0.67,1.31,-1.42,25.19,-2.82
-0.47,-0.71,1.34,3.59,11.21,-0.44
-0.49,-0.75,1.33,3.96,27.38,-5.57
-0.51,-0.69,1.35,-9.29,-0.88,-2.46
-0.55,-0.7,1.39,-8.62,0.04,-2.21
-0.53,-0.69,1.35,-10.2,1.75,-19.0
-0.5,-0.71,1.37,-0.74,10.05,-19.61
-0.54,-0.71,1.38,8.84,-7.47,-11.31
-0.55,-0.73,1.41,12.38,-12.96,-1.6
-0.54,-0.72,1.39,13.36,-14.79,7.25
-0.55,-0.71,1.39,10.61,-18.09,6.39
-0.51,-0.72,1.37,9.69,-22.67,7.19
-0.52,-0.73,1.39,5.66,-23.52,8.9
-0.58,-0.71,1.39,7.13,-18.45,4.5
-0.49,-0.69,1.35,6.21,-23.34,1.33
-0.48,-0.71,1.37,9.82,-11.07,4.87
-0.35,-0.23,1.97,23.91,-40.73,53.82
-0.49,-0.82,1.22,-10.27,-67.71,50.64
-0.36,-0.82,1.27,-5.02,2.3,12.13
-0.31,-0.79,1.27,0.23,15.18,-11.37
-0.48,-0.75,1.4,11.71,-7.35,-1.91
-0.33,-0.72,1.33,8.35,-6.8,-2.76
-0.39,-0.76,1.36,9.08,-6.37,-1.66
-0.39,-0.75,1.34,5.05,-4.42,-6.42
-0.42,-0.74,1.34,8.96,-9.05,-0.2
