accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.24,-0.7,1.22,2.02,-9.25,-0.9
-0.26,-0.68,1.25,1.53,-9.31,-1.39
-0.24,-0.7,1.19,2.93,-8.83,-3.59
-0.25,-0.69,1.23,2.38,-1.99,-9.2
-0.27,-0.7,1.23,6.04,-8.4,-8.47
-0.29,-0.69,1.2,6.78,-3.82,-10.91
-0.28,-0.68,1.23,-5.13,-11.33,-3.65
-0.27,-0.68,1.22,-7.93,-5.1,-4.01
-0.26,-0.68,1.26,4.52,-20.24,-9.2
-0.3,-0.67,1.22,8.73,-23.96,-4.01
-0.27,-0.69,1.23,10.32,-21.03,-4.14
-0.26,-0.69,1.24,9.1,-19.45,-6.03
-0.27,-0.68,1.23,0.25,-9.07,-1.51
-0.26,-0.67,1.22,5.98,-23.66,-3.16
-0.24,-0.71,1.26,-7.51,-12.31,1.78
-0.24,-0.71,1.25,-17.52,-1.56,2.7
-0.24,-0.73,1.28,-18.43,9.79,0.5
-0.28,-0.72,1.27,-22.89,12.05,-0.72
-0.32,-0.7,1.27,-19.41,10.22,-2.37
-0.3,-0.73,1.31,-18.19,-6.87,-7.49
-0.36,-0.73,1.3,-12.45,3.38,-10.73
-0.34,-0.73,1.31,-2.81,-6.87,-9.69
-0.27,-0.76,1.31,8.85,-31.71,-13.47
-0.34,-0.74,1.33,10.13,-9.13,3.8
-0.27,-0.58,1.45,8.24,-48.62,37.55
-0.3,-0.84,1.24,18.49,-65.96,26.08
-0.22,-0.76,1.28,17.95,-4.68,6.67
-0.24,-0.73,1.27,9.95,-6.51,0.81
-0.25,-0.73,1.24,6.47,-0.59,-0.6
-0.27,-0.73,1.28,6.72,2.95,-5.84
-0.25,-0.71,1.23,-10.44,3.01,-5.05
-0.25,-0.7,1.24,-10.25,-0.1,-6.76
-0.31,-0.73,1.3,-2.32,-5.84,-0.47
-0.53,-0.74,1.37,-12.21,-15.3,-35.57
-0.13,-0.72,1.22,-0.55,-26.65,-30.56
-0.29,-0.72,1.28,1.41,-12.18,-5.23
-0.28,-0.71,1.28,9.46,-17.8,6.3
-0.3,-0.71,1.29,8.85,-6.2,7.95
-0.31,-0.72,1.2,-14.59,-61.87,46.4
-0.17,-0.79,1.2,-3.17,-27.93,19.3
-0.21,-0.76,1.22,5.56,-10.96,3.37
-0.22,-0.72,1.27,5.56,-10.66,4.29
-0.19,-0.73,1.23,1.71,-9.99,-2.18
-0.22,-0.75,1.24,2.56,-1.93,-1.57
-0.2,-0.71,1.26,1.41,-6.81,-1.45
-0.21,-0.74,1.24,2.08,-0.83,-7.43
