accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.36,-0.73,1.33,1.54,-2.03,-6.49
-0.38,-0.73,1.31,2.64,-2.77,-4.9
-0.38,-0.73,1.33,1.12,0.1,-6.49
-0.39,-0.75,1.32,2.28,4.92,-10.27
-0.4,-0.72,1.33,2.28,3.28,-11.12
-0.42,-0.73,1.34,4.78,4.5,-14.54
-0.43,-0.73,1.33,5.27,2.91,-13.26
-0.45,-0.71,1.34,5.27,1.2,-13.99
-0.46,-0.71,1.35,4.9,1.81,-11.06
-0.47,-0.69,1.35,-2.61,-3.56,-7.71
-0.45,-0.71,1.35,-1.2,-14.61,-4.11
-0.48,-0.7,1.34,-4.8,-5.15,-4.35
-0.47,-0.72,1.35,-5.29,-1.97,-4.41
-0.45,-0.72,1.35,-7.06,2.18,-4.66
-0.47,-0.72,1.36,-4.74,7.37,0.59
-0.47,-0.72,1.35,3.5,0.22,6.15
-0.52,-0.72,1.38,8.07,-9.36,6.88
-0.53,-0.73,1.4,20.34,-27.79,11.76
-0.47,-0.73,1.36,27.12,-41.4,2.06
-0.45,-0.71,1.34,19.43,-40.55,-8.01
-0.38,-0.72,1.32,-8.16,-11.68,-19.0
-0.39,-0.72,1.35,-17.01,4.8,-7.65
-0.43,-0.71,1.33,-16.34,10.42,-0.99
-0.45,-0.71,1.34,-7.06,9.56,-2.27
-0.48,-0.7,1.34,-2.24,1.99,-6.36
-0.44,-0.72,1.35,-7.49,13.96,-9.35
-0.48,-0.69,1.32,21.01,-26.81,-8.62
-0.46,-0.73,1.36,30.78,-39.57,-3.68
-0.46,-0.69,1.3,25.1,-24.56,-2.82
-0.43,-0.69,1.31,21.01,-21.2,-6.85
-0.42,-0.67,1.27,10.82,-7.83,-5.33
-0.43,-0.66,1.27,11.92,0.16,1.02
-0.46,-0.67,1.29,8.07,2.54,0.41
-0.42,-0.67,1.27,7.77,-5.09,3.65
-0.43,-0.67,1.28,1.24,-18.88,9.5
-0.44,-0.66,1.27,-3.95,-11.56,6.03
-0.41,-0.68,1.28,-12.56,-15.34,1.2
-0.46,-0.68,1.32,-11.34,-11.25,-6.73
-0.36,-0.65,1.22,-20.8,-14.0,-22.29
-0.39,-0.7,1.31,3.37,-27.85,-6.06
-0.39,-0.68,1.29,3.31,-5.76,-3.37
-0.43,-0.69,1.32,3.5,17.99,5.54
-0.52,-0.55,1.47,-21.71,-71.13,59.98
-0.27,-0.8,1.21,0.81,-40.73,33.43
-0.25,-0.78,1.18,4.41,11.52,-6.06
-0.36,-0.69,1.32,4.78,-4.48,-4.04
-0.31,-0.73,1.25,0.14,-3.19,0.23
-0.31,-0.72,1.28,3.25,-4.78,0.41
-0.33,-0.74,1.28,3.92,-0.26,-2.34
-0.32,-0.71,1.3,1.54,-1.24,-0.14
-0.32,-0.73,1.27,3.62,-4.48,-2.64
-0.32,-0.71,1.28,3.74,-6.06,-1.05
-0.33,-0.73,1.27,1.6,-1.3,-2.52
-0.32,-0.73,1.27,3.86,-5.15,-1.05
