accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.27,-0.68,1.24,-3.1,25.33,-6.41
-0.26,-0.66,1.24,-4.62,13.74,-2.62
-0.27,-0.7,1.24,-4.75,18.93,-4.09
-0.3,-0.7,1.21,-6.64,17.64,-7.14
-0.31,-0.67,1.27,-2.0,26.56,-6.84
-0.29,-0.7,1.26,-2.85,13.92,-6.04
-0.36,-0.71,1.25,-5.11,27.65,-17.88
-0.32,-0.66,1.21,0.26,35.83,-15.81
-0.37,-0.66,1.25,-9.2,4.52,-2.14
-0.34,-0.66,1.25,-15.06,14.9,-6.16
-0.36,-0.68,1.29,-12.93,22.65,-4.09
-0.36,-0.67,1.27,-5.85,10.38,-8.12
-0.39,-0.67,1.27,3.55,2.14,-7.39
-0.37,-0.62,1.22,15.94,-4.63,-5.92
-0.35,-0.63,1.23,24.67,-3.29,-6.41
-0.37,-0.65,1.25,17.84,-1.34,-7.26
-0.34,-0.67,1.27,7.03,9.34,-2.01
-0.36,-0.62,1.2,2.21,5.86,-0.31
-0.36,-0.62,1.22,-1.21,25.15,6.35
-0.28,-0.3,1.5,-42.1,2.81,26.0
-0.31,-0.74,1.12,-10.0,-8.48,16.78
-0.26,-0.64,1.17,2.21,11.42,0.67
-0.34,-0.64,1.2,-3.71,24.36,-4.94
-0.31,-0.63,1.19,-1.94,42.61,-14.83
-0.33,-0.65,1.24,-16.16,19.78,-4.58
-0.39,-0.64,1.26,-11.58,26.07,-5.98
-0.36,-0.65,1.27,-11.89,17.4,-2.08
-0.42,-0.65,1.29,-14.57,18.01,-10.19
-0.44,-0.67,1.3,-10.42,13.31,-15.63
-0.33,-0.65,1.24,-2.55,14.29,-2.81
-0.37,-0.66,1.26,-1.15,12.64,-2.5
-0.4,-0.65,1.25,-0.23,9.34,-3.97
-0.4,-0.6,1.22,13.44,5.8,-9.22
-0.37,-0.67,1.27,20.64,0.37,-9.22
-0.4,-0.66,1.26,6.73,3.36,-1.28
-0.39,-0.62,1.23,1.11,9.71,-0.49
-0.38,-0.6,1.24,0.38,27.59,6.35
-0.44,-0.5,1.3,-46.19,-42.23,46.57
-0.27,-0.74,1.15,-4.99,-40.83,37.35
-0.26,-0.68,1.16,4.04,3.73,10.56
-0.27,-0.67,1.22,-2.73,8.73,-1.46
-0.28,-0.66,1.19,0.69,8.37,3.42
-0.26,-0.66,1.18,-1.27,15.2,0.43
-0.28,-0.68,1.23,-1.82,11.36,2.93
-0.25,-0.63,1.22,-1.82,20.21,-0.24
-0.26,-0.66,1.21,-5.97,12.52,0.55
-0.26,-0.64,1.23,-3.04,17.52,1.4
-0.26,-0.68,1.2,-5.05,17.4,-0.61
-0.28,-0.67,1.22,-2.92,19.05,0.73
-0.27,-0.65,1.21,-2.73,15.02,0.18
-0.28,-0.67,1.23,-2.49,11.6,0.85
