accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.36,-0.74,1.33,0.96,0.17,-4.29
-0.35,-0.73,1.31,-0.14,-0.26,-1.6
-0.36,-0.74,1.32,0.41,1.82,-3.19
-0.36,-0.76,1.29,-0.81,5.66,-3.43
-0.37,-0.75,1.31,-1.48,7.13,-6.61
-0.38,-0.76,1.31,-0.08,4.32,-6.06
-0.39,-0.77,1.3,0.29,12.07,-8.93
-0.42,-0.66,1.33,-22.54,3.52,-6.36
-0.4,-0.75,1.32,-9.6,-8.93,-4.9
-0.4,-0.75,1.32,-12.47,3.89,-7.77
-0.61,-0.5,1.1,-5.02,5.42,-0.81
-0.4,-0.72,1.29,13.53,-14.48,-4.84
-0.42,-0.68,1.27,21.1,-0.2,-3.92
-0.39,-0.73,1.3,19.39,4.01,-7.64
-0.4,-0.74,1.34,12.19,10.36,-2.88
-0.42,-0.69,1.29,16.46,-11.06,2.49
-0.36,-0.42,1.52,-51.41,-43.66,53.15
-0.45,-0.96,1.16,-26.57,-20.4,44.05
-0.23,-0.82,1.22,-10.94,9.26,5.72
-0.25,-0.72,1.29,-8.38,9.57,-5.75
-0.36,-0.78,1.33,-5.33,25.25,-5.02
-0.34,-0.74,1.32,-5.39,10.48,0.23
-0.32,-0.77,1.28,-6.24,23.85,-6.0
-0.38,-0.84,1.24,4.44,36.06,-13.32
-0.37,-0.79,1.32,-17.65,-9.41,-19.91
-0.4,-0.78,1.39,-19.67,-8.99,-16.68
-0.42,-0.78,1.39,4.81,-10.82,-0.81
-0.4,-0.77,1.38,12.8,9.63,19.15
-0.68,-0.74,1.44,-35.84,-94.44,96.73
-0.05,-0.98,1.13,1.88,-21.93,21.16
-0.34,-0.92,1.26,12.31,1.08,3.22
-0.3,-0.81,1.35,3.04,11.95,-5.02
-0.26,-0.79,1.33,0.72,13.17,0.53
-0.29,-0.81,1.36,1.02,5.6,2.18
-0.25,-0.8,1.34,-0.81,5.54,-0.5
-0.3,-0.79,1.36,-2.94,15.85,-2.33
-0.3,-0.82,1.35,1.39,6.33,1.45
-0.29,-0.78,1.38,-5.75,16.22,-2.4
-0.3,-0.81,1.33,-1.11,4.44,0.6
-0.27,-0.78,1.37,-7.52,30.44,-14.3
