accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.27,-0.63,1.3,-0.08,24.46,-30.2
-0.26,-0.63,1.31,1.76,23.3,-30.5
-0.28,-0.64,1.31,2.73,27.63,-34.59
-0.26,-0.63,1.31,0.72,30.44,-35.75
-0.27,-0.63,1.3,3.65,29.22,-37.52
-0.29,-0.65,1.29,2.37,38.56,-41.98
-0.32,-0.61,1.3,-11.0,37.4,-38.38
-0.3,-0.6,1.3,-9.72,26.78,-40.64
-0.31,-0.63,1.33,-8.07,24.03,-35.63
-0.37,-0.61,1.34,4.87,3.64,-43.26
-0.36,-0.58,1.28,19.82,-9.23,-44.48
-0.26,-0.6,1.3,23.36,12.01,-41.55
-0.27,-0.61,1.31,18.91,35.87,-40.09
-0.29,-0.58,1.28,19.03,36.05,-30.5
-0.35,-0.59,1.31,0.84,23.54,-32.34
-0.34,-0.61,1.32,-4.41,26.53,-14.94
-0.3,-0.55,1.27,-3.98,1.45,-18.42
-0.4,-0.6,1.36,5.97,27.87,-21.9
-0.3,-0.68,1.18,-16.98,-9.6,6.54
-0.07,-0.69,1.18,-4.29,12.19,-26.05
-0.28,-0.6,1.3,-0.62,47.04,-39.54
-0.28,-0.6,1.34,-1.42,40.2,-31.05
-0.26,-0.64,1.33,-7.4,46.8,-33.92
-0.27,-0.62,1.35,-5.75,36.05,-31.42
-0.29,-0.63,1.29,-11.92,34.41,-24.52
-0.3,-0.63,1.31,-4.41,11.82,-24.83
-0.27,-0.65,1.31,-5.75,34.04,-32.15
-0.29,-0.7,1.23,11.34,44.9,-45.82
-0.3,-0.64,1.32,-21.25,19.7,-51.56
-0.31,-0.63,1.39,-11.79,34.89,-48.94
-0.35,-0.64,1.38,2.0,32.88,-27.88
-0.23,-0.6,1.27,54.92,-16.5,16.0
-0.34,-0.86,1.07,-37.61,-35.36,15.7
0.02,-0.79,1.24,10.36,-5.82,-24.58
-0.25,-0.7,1.36,10.97,11.27,-32.4
-0.22,-0.67,1.32,4.32,17.62,-30.38
-0.17,-0.68,1.32,4.38,31.35,-33.19
-0.17,-0.64,1.34,4.69,20.73,-29.83
-0.14,-0.67,1.31,3.4,26.41,-33.31
-0.2,-0.66,1.33,3.1,21.1,-30.14
-0.17,-0.66,1.31,2.18,30.99,-33.68
-0.18,-0.68,1.29,2.31,21.77,-29.16
