accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.28,-0.65,1.2,0.47,7.35,-6.23
-0.26,-0.67,1.19,0.53,-1.01,-2.56
-0.29,-0.68,1.22,-0.32,8.45,-4.94
-0.3,-0.69,1.2,-0.62,20.23,-14.34
-0.37,-0.58,1.24,-21.99,5.34,-6.1
-0.31,-0.66,1.21,-7.09,-9.62,-5.37
-0.34,-0.67,1.23,-9.23,4.06,-4.94
-0.34,-0.68,1.24,-8.56,3.87,-6.53
-0.3,-0.64,1.19,19.39,-33.97,-7.08
-0.33,-0.65,1.19,30.56,-37.75,-7.51
-0.35,-0.6,1.15,30.93,-16.15,-11.23
-0.31,-0.67,1.2,26.9,-4.49,-12.33
-0.29,-0.66,1.2,8.41,13.82,-8.0
-0.41,-0.83,1.51,9.87,1.98,14.89
-0.34,-0.67,1.09,-50.37,-50.51,37.78
-0.2,-0.7,1.02,-16.31,8.88,-10.62
-0.31,-0.62,1.14,0.41,39.4,-22.4
-0.38,-0.54,1.21,-18.69,2.23,-7.51
-0.32,-0.64,1.18,-7.16,4.3,-6.35
-0.35,-0.66,1.21,-15.7,18.58,-9.22
-0.28,-0.62,1.13,19.46,-11.39,18.92
-0.43,-0.7,1.3,14.63,-17.49,3.97
-0.32,-0.68,1.22,9.93,-15.17,5.61
-0.3,-0.63,1.16,2.85,-14.01,-0.18
-0.38,-0.65,1.19,-2.52,4.3,-18.43
-0.31,-0.62,1.16,0.11,5.64,-24.29
-0.32,-0.65,1.18,1.45,4.24,-9.52
-0.35,-0.63,1.17,4.38,-8.88,1.1
-0.34,-0.62,1.17,-0.81,-1.74,-2.69
-0.35,-0.63,1.19,2.18,-2.96,0.49
-0.34,-0.61,1.19,5.6,2.53,1.59
-0.43,-0.42,1.32,-31.57,-58.81,56.09
-0.27,-0.7,1.14,1.94,-67.72,53.71
-0.16,-0.75,1.01,12.31,-6.01,10.86
-0.25,-0.67,1.17,-1.66,7.6,-3.24
-0.22,-0.64,1.13,-1.97,8.08,-6.04
-0.25,-0.64,1.18,-3.19,2.59,-1.53
-0.23,-0.66,1.13,-1.17,5.64,-2.5
-0.25,-0.67,1.16,-0.01,1.0,0.3
-0.24,-0.64,1.17,-0.56,7.29,-2.26
-0.25,-0.66,1.16,-0.69,4.91,-2.01
