accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.3,-0.74,1.3,0.15,-2.02,-0.15
-0.31,-0.74,1.3,-0.27,0.18,-1.74
-0.3,-0.73,1.3,0.15,-1.1,-1.43
-0.31,-0.75,1.29,1.5,5.67,-6.62
-0.33,-0.74,1.31,-3.94,-5.31,-3.63
-0.33,-0.74,1.3,-4.73,0.12,-3.51
-0.32,-0.73,1.3,-5.65,-2.02,-5.65
-0.35,-0.74,1.32,-7.11,0.18,-3.51
-0.36,-0.75,1.33,-6.38,1.77,-2.23
-0.32,-0.73,1.31,4.91,-14.9,-5.34
-0.32,-0.73,1.3,9.19,-18.56,-2.41
-0.35,-0.72,1.3,15.41,-18.98,-2.04
-0.27,-0.73,1.3,20.23,-25.82,-5.04
-0.32,-0.69,1.26,9.8,1.34,-4.0
-0.31,-0.72,1.29,9.31,-0.92,-4.06
-0.32,-0.7,1.26,1.56,2.01,-2.29
-0.34,-0.7,1.25,1.31,-5.25,2.47
-0.33,-0.7,1.26,1.74,-10.68,-1.56
-0.32,-0.7,1.25,1.31,-11.17,0.95
-0.33,-0.69,1.24,7.17,-16.97,0.15
-0.32,-0.69,1.25,-0.58,-12.94,1.31
-0.29,-0.68,1.25,-2.41,-3.48,0.52
-0.3,-0.68,1.22,3.94,-9.59,-0.27
-0.32,-0.69,1.25,1.43,5.49,1.01
-0.5,-0.67,1.32,1.8,37.66,-0.58
-0.32,-0.64,1.41,-28.72,-115.48,70.34
-0.14,-0.87,1.0,-57.53,-126.59,74.74
0.0,-1.1,0.84,4.12,-59.08,56.61
-0.0,-0.93,1.04,17.91,-4.76,13.4
-0.02,-0.79,1.24,9.55,23.8,-1.68
-0.01,-0.82,1.16,-17.12,34.24,-17.85
-0.13,-0.81,1.32,-13.03,31.19,-12.54
-0.16,-0.84,1.25,-9.43,22.82,-16.08
-0.1,-0.78,1.32,-1.5,-0.74,2.53
-0.15,-0.85,1.26,-6.74,0.97,-2.59
-0.07,-0.81,1.27,1.8,0.3,-2.47
