accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.42,-0.67,1.27,7.8,-9.7,-0.56
-0.43,-0.66,1.29,10.55,-11.96,-0.63
-0.44,-0.67,1.28,10.86,-10.92,-2.21
-0.43,-0.66,1.28,8.29,-7.44,-6.61
-0.45,-0.66,1.3,9.09,-8.17,-4.59
-0.45,-0.66,1.29,9.21,-8.17,-2.33
-0.46,-0.67,1.29,6.83,-9.09,-2.21
-0.46,-0.66,1.3,7.13,-6.95,-4.71
-0.49,-0.65,1.31,6.77,-3.72,-4.78
-0.47,-0.66,1.3,6.34,0.37,-7.46
-0.51,-0.65,1.32,6.64,-13.42,-1.66
-0.5,-0.66,1.32,5.91,-10.37,-0.26
-0.5,-0.67,1.33,8.84,-14.22,2.3
-0.5,-0.67,1.33,5.91,-12.51,-0.75
-0.5,-0.67,1.33,6.03,-11.41,-0.87
-0.5,-0.67,1.32,6.52,-12.63,1.21
-0.51,-0.67,1.34,7.8,-14.22,-1.05
-0.51,-0.67,1.34,9.7,-15.01,1.33
-0.51,-0.67,1.34,10.86,-16.9,1.69
-0.51,-0.67,1.34,7.62,-10.92,0.96
-0.51,-0.67,1.35,5.18,-10.43,-0.87
-0.53,-0.66,1.36,21.6,-19.89,-8.32
-0.51,-0.69,1.35,15.31,-14.03,-6.55
-0.53,-0.67,1.34,12.81,-20.5,1.51
-0.52,-0.67,1.34,18.42,-28.38,0.72
-0.52,-0.67,1.34,-6.85,-21.23,6.15
-0.57,-0.66,1.36,-2.21,-24.29,0.23
-0.48,-0.66,1.31,4.69,-10.86,-5.87
-0.54,-0.64,1.32,15.92,-14.95,-14.97
-0.5,-0.72,1.39,15.68,-14.58,-1.05
-0.55,-0.76,1.42,6.16,-23.31,7.8
-0.56,-0.65,1.34,-8.74,-23.55,-0.26
-0.51,-0.66,1.32,0.11,-15.5,-7.71
-0.54,-0.64,1.31,-0.86,5.8,-13.26
-0.51,-0.69,1.36,26.3,-24.71,-11.73
-0.54,-0.69,1.38,14.33,-18.18,-0.87
-0.53,-0.64,1.33,30.02,-23.62,8.1
-0.54,-0.66,1.37,-1.47,-46.5,50.71
-0.47,-0.78,1.25,7.25,-73.73,38.44
-0.42,-0.74,1.27,8.05,-11.59,0.66
-0.45,-0.69,1.34,5.97,-3.41,-7.95
-0.45,-0.66,1.33,9.57,-6.46,-0.08
-0.46,-0.69,1.34,8.41,-9.88,-2.09
