accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.44,-0.7,1.32,1.01,0.88,-2.53
-0.46,-0.71,1.33,-0.27,2.04,-3.27
-0.44,-0.71,1.34,4.85,-5.53,-5.46
-0.43,-0.71,1.31,2.72,2.53,-4.43
-0.44,-0.7,1.32,2.66,2.41,-4.43
-0.45,-0.71,1.31,0.64,2.9,-6.99
-0.46,-0.7,1.31,6.93,-0.52,-11.81
-0.48,-0.68,1.32,-6.87,-8.46,-10.53
-0.44,-0.69,1.31,-4.67,-10.9,-2.23
-0.48,-0.7,1.34,-8.27,3.32,-3.51
-0.46,-0.68,1.32,9.55,-7.11,-8.33
-0.45,-0.68,1.3,11.38,3.63,-6.93
-0.46,-0.71,1.35,9.8,-1.99,-1.44
-0.47,-0.68,1.31,2.35,-6.93,0.33
-0.46,-0.71,1.3,-6.25,-5.4,10.41
-0.46,-0.69,1.32,-11.99,-4.67,4.36
-0.47,-0.7,1.34,-13.7,-6.44,2.59
-0.48,-0.7,1.34,-12.79,-6.62,-5.4
-0.45,-0.69,1.32,-11.87,2.53,-13.28
-0.44,-0.7,1.32,-6.87,0.88,-20.36
-0.47,-0.69,1.33,3.88,-4.12,-16.82
-0.49,-0.69,1.32,11.14,-8.09,-12.61
-0.48,-0.7,1.33,14.68,-13.83,-10.84
-0.48,-0.68,1.32,10.1,-7.48,-8.88
-0.47,-0.68,1.31,4.67,-2.35,-4.0
-0.5,-0.67,1.32,1.25,-4.73,-2.05
-0.48,-0.67,1.31,1.19,-3.33,-0.89
-0.49,-0.68,1.32,3.82,-6.14,-2.05
-0.47,-0.65,1.33,0.64,-0.83,7.23
-0.48,-0.51,1.78,-58.75,-77.49,77.24
-0.48,-0.82,1.28,-34.15,-70.35,45.62
-0.23,-0.93,0.99,-10.16,-28.72,8.88
-0.33,-0.78,1.31,12.3,36.41,-12.48
-0.37,-0.65,1.43,-3.63,26.09,-8.03
-0.38,-0.79,1.34,-13.88,4.42,-3.57
-0.35,-0.77,1.32,-4.91,13.15,-5.59
-0.39,-0.77,1.38,1.07,15.29,-5.53
-0.42,-0.77,1.37,0.09,5.95,-3.27
