accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.46,-0.74,1.34,1.92,2.32,-7.42
-0.48,-0.71,1.35,0.7,5.06,-7.84
-0.49,-0.74,1.37,-0.46,2.99,-8.88
-0.5,-0.73,1.34,-2.04,13.73,-17.18
-0.5,-0.71,1.36,-2.17,19.1,-17.18
-0.55,-0.66,1.37,-13.27,-0.79,-8.58
-0.52,-0.71,1.37,-5.95,-2.87,-5.65
-0.54,-0.71,1.38,-7.11,2.87,-3.69
-0.52,-0.72,1.39,-7.96,2.81,-1.31
-0.52,-0.72,1.39,-7.41,4.76,2.41
-0.51,-0.72,1.38,-0.95,8.48,9.79
-0.53,-0.72,1.4,1.56,4.88,7.29
-0.5,-0.71,1.36,7.97,-1.71,4.61
-0.53,-0.72,1.39,17.98,-5.49,4.97
-0.54,-0.71,1.38,26.09,-10.44,-1.74
-0.51,-0.69,1.35,26.7,-18.8,-9.8
-0.53,-0.71,1.39,16.27,-10.56,-14.62
-0.52,-0.7,1.37,-4.91,-7.94,-22.49
-0.54,-0.69,1.35,-21.27,0.85,-25.61
-0.49,-0.7,1.32,-16.75,-9.4,-15.96
-0.53,-0.7,1.35,-23.22,7.81,-3.27
-0.51,-0.72,1.37,-22.19,-7.69,8.88
-0.51,-0.71,1.37,-14.92,11.17,9.18
-0.49,-0.74,1.38,-8.21,4.45,17.3
-0.54,-0.73,1.41,-1.56,8.06,13.88
-0.48,-0.72,1.37,7.48,3.23,9.49
-0.5,-0.76,1.42,6.01,-0.61,1.86
-0.51,-0.74,1.42,12.97,-1.4,8.21
-0.5,-0.45,1.8,-22.19,-15.26,28.47
-0.41,-0.85,1.25,-12.11,-58.05,20.17
-0.33,-0.82,1.25,4.98,-27.1,2.53
-0.43,-0.74,1.41,5.34,-7.33,-7.97
-0.43,-0.76,1.37,-4.0,6.59,-5.89
-0.41,-0.77,1.37,-2.59,8.91,-5.77
-0.41,-0.77,1.37,2.11,2.32,-3.02
-0.41,-0.77,1.36,1.62,3.23,-4.06
-0.42,-0.76,1.36,1.5,0.24,-2.23
-0.42,-0.78,1.36,1.8,5.55,-2.23
-0.41,-0.76,1.36,1.74,4.7,-2.72
