accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.3,-0.68,1.2,2.25,5.11,2.79
-0.32,-0.69,1.24,1.39,5.54,2.12
-0.32,-0.68,1.21,3.47,6.39,0.96
-0.33,-0.68,1.2,3.28,8.53,-3.43
-0.37,-0.69,1.23,3.47,13.41,-6.12
-0.37,-0.62,1.28,-12.89,2.48,0.72
-0.36,-0.68,1.23,-0.81,-14.42,3.83
-0.37,-0.67,1.23,-3.43,-4.54,1.39
-0.38,-0.68,1.24,-7.21,12.49,3.04
-0.4,-0.67,1.24,10.79,-11.98,2.61
-0.41,-0.65,1.21,15.0,-14.36,2.61
-0.46,-0.63,1.19,22.2,-5.27,1.27
-0.37,-0.68,1.24,17.02,3.09,-0.99
-0.38,-0.69,1.26,11.28,-3.74,2.37
-0.39,-0.64,1.21,7.74,-7.04,4.26
-0.37,-0.66,1.23,-8.19,-6.98,9.57
-0.38,-0.66,1.22,-10.76,2.61,10.06
-0.36,-0.69,1.24,-15.82,-1.61,7.56
-0.39,-0.67,1.24,-8.25,-0.45,7.31
-0.37,-0.65,1.2,-7.95,-9.11,4.81
-0.4,-0.68,1.26,-4.41,-4.9,3.1
-0.39,-0.69,1.26,-6.97,1.32,-6.06
-0.4,-0.68,1.26,-0.01,2.06,-7.7
-0.39,-0.69,1.25,4.99,-6.18,-6.79
-0.39,-0.69,1.27,9.45,-7.28,-3.8
-0.4,-0.67,1.24,15.37,-8.32,1.15
-0.38,-0.68,1.25,14.82,2.0,3.77
-0.4,-0.67,1.24,10.91,-2.58,6.4
-0.39,-0.66,1.22,10.42,-3.62,11.1
-0.35,-0.67,1.21,5.3,-7.71,9.75
-0.41,-0.66,1.23,3.16,-3.8,15.37
-0.4,-0.65,1.23,0.84,-8.08,11.4
-0.38,-0.66,1.21,5.85,-16.19,11.77
-0.35,-0.49,1.47,17.81,-24.19,28.55
-0.38,-0.77,1.08,-3.37,-63.25,40.45
-0.22,-0.74,1.13,-0.93,-20.4,13.72
-0.28,-0.71,1.18,1.64,-1.18,2.12
-0.28,-0.69,1.18,7.13,1.63,2.92
-0.31,-0.71,1.21,1.09,2.61,0.72
-0.28,-0.68,1.21,5.3,-1.85,5.18
-0.28,-0.68,1.21,2.98,4.19,1.76
-0.3,-0.68,1.21,3.65,0.96,3.34
-0.3,-0.68,1.2,3.59,2.42,2.86
-0.3,-0.69,1.21,4.32,-1.67,5.36
-0.31,-0.68,1.21,5.54,1.51,3.1
