accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.32,-0.65,1.23,-0.01,1.98,-5.71
-0.34,-0.65,1.25,0.41,1.98,-4.36
-0.35,-0.67,1.23,-0.08,6.62,-10.83
-0.36,-0.67,1.23,-1.48,14.31,-13.64
-0.39,-0.66,1.24,3.04,7.47,-11.93
-0.37,-0.48,1.39,-1.48,8.15,-8.51
-0.38,-0.65,1.25,-3.86,-5.16,-1.43
-0.39,-0.65,1.26,-4.47,-7.3,-0.28
-0.4,-0.66,1.27,-5.39,-1.8,0.4
-0.4,-0.66,1.27,-8.25,-0.16,-0.89
-0.38,-0.67,1.27,-7.52,7.29,3.69
-0.39,-0.66,1.27,-1.85,2.16,6.87
-0.38,-0.65,1.26,8.71,-4.79,13.64
-0.41,-0.64,1.26,16.53,-14.62,9.86
-0.4,-0.66,1.28,25.99,-32.56,2.84
-0.38,-0.66,1.26,14.57,-13.03,-7.9
-0.39,-0.65,1.26,-6.91,0.09,-17.85
-0.32,-0.65,1.21,-14.17,-4.49,-10.83
-0.37,-0.69,1.28,-16.25,2.16,-1.68
-0.37,-0.65,1.24,-14.54,-5.95,-0.34
-0.38,-0.65,1.25,-5.45,-7.24,-1.74
-0.36,-0.65,1.24,-0.38,-4.79,-3.51
-0.39,-0.67,1.28,-7.58,21.27,-4.73
-0.39,-0.63,1.24,20.25,-7.72,-4.97
-0.39,-0.64,1.26,19.33,-9.43,-2.35
-0.38,-0.66,1.25,14.08,-1.74,-2.47
-0.38,-0.62,1.22,8.65,-4.92,-0.03
-0.38,-0.62,1.22,10.36,1.19,-0.64
-0.38,-0.62,1.22,4.87,-4.43,-0.95
-0.38,-0.61,1.2,-0.14,-0.58,0.82
-0.39,-0.62,1.2,6.21,-15.11,0.09
-0.38,-0.61,1.2,-2.64,1.43,0.58
-0.38,-0.61,1.22,10.24,-21.4,1.01
-0.24,-0.24,1.54,-30.35,-15.23,33.72
-0.4,-0.81,1.05,-16.31,-54.48,53.86
-0.2,-0.74,1.1,-3.01,-9.25,6.01
-0.31,-0.62,1.25,-0.44,3.69,-6.01
-0.3,-0.67,1.19,-0.75,-0.34,-0.89
-0.26,-0.63,1.2,-2.82,9.18,-3.69
-0.3,-0.67,1.22,-0.26,2.77,-2.17
-0.28,-0.66,1.21,0.6,2.71,-2.11
-0.29,-0.65,1.23,-0.87,2.9,-3.08
-0.32,-0.68,1.21,-2.27,0.94,-3.45
-0.29,-0.65,1.24,-0.5,0.09,-2.35
