accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.35,-0.67,1.26,1.15,-0.49,-0.81
-0.34,-0.67,1.26,1.76,-5.13,-0.2
-0.37,-0.67,1.27,1.08,-2.57,-0.2
-0.36,-0.68,1.27,2.73,-1.1,-1.72
-0.35,-0.68,1.25,5.24,-0.49,-4.47
-0.39,-0.67,1.26,4.81,-0.68,-5.81
-0.38,-0.67,1.27,-1.05,-6.54,-0.26
-0.37,-0.66,1.26,-3.13,-4.46,0.29
-0.38,-0.68,1.28,-2.82,-5.92,0.9
-0.39,-0.67,1.27,-2.27,-6.66,0.11
-0.38,-0.67,1.27,2.24,-17.95,1.45
-0.38,-0.67,1.27,-3.98,3.29,-2.58
-0.2,-0.68,1.3,8.29,-18.74,-12.89
-0.35,-0.66,1.26,10.48,-19.9,-11.73
-0.38,-0.66,1.25,14.82,-15.69,-4.47
-0.36,-0.65,1.23,11.03,-7.82,-3.31
-0.39,-0.65,1.25,12.38,-1.41,1.82
-0.39,-0.65,1.24,1.39,-4.83,-0.32
-0.38,-0.64,1.24,-1.36,-17.34,11.34
-0.38,-0.65,1.24,-8.5,-14.16,7.25
-0.36,-0.65,1.22,-12.16,-5.99,-4.23
-0.36,-0.65,1.24,-10.15,-13.98,-3.56
-0.35,-0.64,1.23,-6.12,-14.47,-5.33
-0.35,-0.66,1.24,-4.65,-3.48,-3.86
-0.31,-0.66,1.21,0.6,-11.11,-3.92
-0.38,-0.67,1.26,4.26,-14.29,1.39
-0.37,-0.66,1.26,-0.69,-1.53,-1.24
-0.35,-0.67,1.25,0.41,-1.23,0.66
-0.36,-0.63,1.24,20.55,12.45,2.06
-0.36,-0.79,1.13,-18.26,-49.69,47.35
-0.3,-0.78,1.18,0.05,-15.39,17.14
-0.32,-0.7,1.28,1.02,5.67,-2.58
-0.31,-0.7,1.23,-2.21,-3.06,-2.94
-0.33,-0.69,1.28,-4.9,-11.42,1.39
-0.29,-0.71,1.25,1.82,-6.41,2.06
-0.29,-0.7,1.26,0.47,-0.31,0.11
-0.33,-0.71,1.27,2.18,-3.73,-0.08
-0.31,-0.7,1.24,2.98,-1.35,-0.01
