accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.48,-0.66,1.31,8.93,-19.62,-7.65
-0.52,-0.66,1.34,8.69,-18.4,-9.66
-0.5,-0.66,1.31,8.32,-15.23,-11.25
-0.54,-0.68,1.31,11.31,-8.21,-19.98
-0.51,-0.61,1.31,-7.61,-27.98,-17.23
-0.58,-0.66,1.36,3.07,-17.3,-13.26
-0.56,-0.66,1.34,6.86,-23.77,-7.4
-0.56,-0.67,1.36,5.88,-22.55,-4.84
-0.57,-0.67,1.36,5.33,-21.58,-3.86
-0.58,-0.65,1.35,3.74,-15.53,-4.41
-0.55,-0.69,1.36,8.08,-19.32,1.39
-0.57,-0.67,1.36,5.94,-9.31,2.24
-0.59,-0.66,1.36,14.49,-15.23,7.79
-0.61,-0.68,1.39,25.41,-36.53,6.51
-0.58,-0.66,1.36,27.73,-46.05,-0.75
-0.57,-0.68,1.37,19.98,-38.18,-14.3
-0.56,-0.66,1.34,10.82,-20.54,-18.45
-0.56,-0.66,1.34,8.51,-23.04,-16.8
-0.55,-0.65,1.33,7.83,-20.11,-18.33
-0.57,-0.65,1.34,12.05,-18.52,-14.3
-0.59,-0.65,1.34,12.11,-13.52,-11.55
-0.59,-0.65,1.34,13.45,-19.26,-7.04
-0.6,-0.64,1.34,14.61,-21.39,-2.95
-0.61,-0.65,1.36,15.71,-22.74,-0.57
-0.59,-0.65,1.33,15.28,-33.6,1.02
-0.55,-0.65,1.33,17.29,-49.71,9.08
-0.58,-0.63,1.32,15.22,-36.96,10.24
-0.56,-0.64,1.34,20.53,-44.89,7.55
-0.58,-0.51,1.51,-8.1,-85.66,28.18
-0.43,-0.76,1.11,4.84,-88.29,23.54
-0.37,-0.74,1.17,15.89,-47.64,1.75
-0.43,-0.65,1.3,2.89,-17.61,-17.6
-0.45,-0.67,1.29,7.83,-23.65,-11.62
-0.44,-0.68,1.26,7.28,-23.04,-8.56
-0.45,-0.67,1.28,9.05,-22.86,-6.24
-0.45,-0.68,1.27,9.73,-19.99,-6.49
-0.44,-0.64,1.31,8.44,-19.01,-8.2
-0.47,-0.68,1.27,9.85,-19.62,-5.33
-0.43,-0.65,1.3,9.48,-22.19,-5.39
-0.47,-0.68,1.29,9.73,-20.11,-7.16
-0.46,-0.66,1.27,10.95,-22.31,-5.94
-0.47,-0.67,1.31,12.72,-24.93,-6.31
-0.44,-0.65,1.3,12.29,-23.35,-5.76
