accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.33,-0.72,1.28,0.08,-2.06,-2.0
-0.33,-0.72,1.28,-0.9,-1.09,-2.73
-0.33,-0.72,1.28,-1.14,0.01,-3.16
-0.35,-0.72,1.28,-3.46,12.83,-6.03
-0.38,-0.74,1.3,-2.18,3.0,-5.66
-0.34,-0.72,1.27,1.97,8.98,-11.95
-0.39,-0.73,1.3,-12.8,-4.87,-4.69
-0.33,-0.78,1.35,-17.01,6.6,-4.99
-0.39,-0.72,1.31,-5.29,-8.96,-8.71
-0.48,-0.63,1.27,-3.89,0.68,-7.25
-0.41,-0.72,1.32,6.97,-11.59,-9.32
-0.4,-0.66,1.26,26.75,-46.25,-11.64
-0.37,-0.7,1.25,40.48,-68.16,-7.8
-0.3,-0.7,1.28,22.48,-21.9,-7.8
-0.32,-0.68,1.24,3.62,-0.35,-1.33
-0.35,-0.66,1.17,-9.51,6.66,19.42
-0.31,-0.7,1.2,-17.2,-20.74,31.69
-0.28,-0.76,1.19,-9.2,12.22,8.07
-0.31,-0.69,1.26,-3.04,24.49,0.93
-0.31,-0.72,1.23,-1.2,27.97,0.01
-0.28,-0.55,1.48,6.0,28.94,-10.85
-0.42,-0.71,1.3,-10.3,7.09,-2.55
-0.36,-0.71,1.3,-3.52,0.5,-4.75
-0.38,-0.71,1.3,9.54,-35.21,3.37
-0.42,-0.71,1.33,-13.53,-34.17,-41.43
-0.22,-0.68,1.2,-2.97,-20.44,-18.91
-0.33,-0.71,1.27,-0.53,-5.6,-5.11
-0.36,-0.7,1.28,4.04,-11.28,0.56
-0.37,-0.7,1.3,0.63,-1.27,1.3
-0.46,-0.65,1.31,11.67,12.89,7.77
-0.35,-0.76,1.18,-24.34,-41.49,43.41
-0.23,-0.81,1.19,5.81,-35.02,19.67
-0.27,-0.76,1.26,2.15,0.13,-7.37
-0.31,-0.72,1.29,1.91,-1.39,-3.71
-0.31,-0.73,1.28,-0.72,2.7,-7.25
-0.3,-0.72,1.27,-0.59,6.6,-3.95
-0.31,-0.73,1.31,1.6,3.73,-2.61
