accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.22,-0.64,1.17,-1.54,4.79,0.17
-0.22,-0.66,1.17,-2.21,6.26,-1.05
-0.23,-0.65,1.17,-1.54,7.11,-2.15
-0.24,-0.66,1.18,-0.75,8.82,-2.58
-0.23,-0.65,1.18,0.05,9.92,-3.01
-0.23,-0.65,1.17,0.35,11.57,-4.84
-0.25,-0.64,1.19,1.45,16.08,-4.59
-0.25,-0.64,1.18,-5.51,7.17,-2.15
-0.25,-0.64,1.17,-5.57,1.62,-3.25
-0.25,-0.65,1.18,-3.92,1.62,-3.01
-0.25,-0.65,1.18,-6.79,6.38,-3.37
-0.31,-0.43,0.91,-8.38,17.61,-3.13
-0.25,-0.66,1.2,10.12,-6.38,0.47
-0.24,-0.64,1.18,12.86,-3.08,-3.25
-0.23,-0.64,1.16,14.76,-14.86,-6.0
-0.21,-0.63,1.16,9.81,-7.66,-9.35
-0.22,-0.62,1.15,5.17,-1.25,-6.61
-0.22,-0.62,1.13,-2.09,5.89,-8.19
-0.22,-0.61,1.12,-8.07,6.07,-10.21
-0.22,-0.61,1.12,-14.6,13.28,-5.63
-0.26,-0.64,1.19,-17.53,10.1,-1.36
-0.24,-0.62,1.16,-15.34,11.69,-2.52
-0.25,-0.61,1.13,-13.14,4.85,-0.32
-0.25,-0.65,1.19,-4.41,7.48,-1.42
-0.25,-0.64,1.18,-5.57,18.22,-2.76
-0.27,-0.64,1.2,-6.18,13.58,-3.62
-0.27,-0.62,1.18,13.35,-4.91,-9.11
-0.26,-0.64,1.19,14.57,-1.68,-7.28
-0.27,-0.62,1.17,9.57,0.58,-4.29
-0.26,-0.65,1.18,3.89,2.78,-1.79
-0.26,-0.61,1.14,-1.91,12.24,-1.24
-0.28,-0.61,1.17,-3.8,25.3,0.11
-0.46,-0.57,1.18,-35.11,-51.97,57.11
-0.17,-0.75,1.13,-15.52,-28.96,31.91
-0.14,-0.7,1.07,-6.0,8.09,2.3
-0.21,-0.63,1.18,-0.02,4.55,1.69
-0.18,-0.67,1.14,-1.24,16.69,-2.58
-0.19,-0.65,1.18,-2.58,16.63,-5.27
-0.19,-0.66,1.17,-4.41,10.71,-2.52
-0.21,-0.67,1.17,-2.46,16.21,-5.2
-0.21,-0.66,1.17,-0.69,7.54,-0.75
