accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.44,-0.55,1.18,0.67,0.87,-3.11
-0.43,-0.55,1.17,0.31,3.31,-5.74
-0.44,-0.55,1.18,-0.24,3.19,-4.88
-0.45,-0.57,1.18,0.43,6.79,-8.24
-0.45,-0.55,1.18,1.83,3.06,-7.94
-0.45,-0.54,1.19,1.16,4.71,-6.17
-0.48,-0.55,1.19,3.6,0.62,-4.46
-0.47,-0.55,1.17,2.69,6.42,-5.98
-0.5,-0.51,1.21,-6.22,6.54,-0.86
-0.47,-0.55,1.19,-7.63,8.19,-2.26
-0.49,-0.55,1.19,-5.61,7.28,-3.11
-0.49,-0.55,1.21,-7.2,14.3,-2.99
-0.51,-0.56,1.22,-5.86,9.35,-6.71
-0.53,-0.56,1.23,6.78,-5.97,-7.26
-0.54,-0.53,1.21,9.16,4.83,-13.49
-0.47,-0.52,1.21,16.54,-0.96,-14.95
-0.55,-0.53,1.2,12.64,-1.09,-12.64
-0.54,-0.55,1.22,3.11,-5.05,0.43
-0.54,-0.52,1.18,4.09,-12.25,-2.08
-0.53,-0.52,1.19,8.42,-22.08,2.07
-0.49,-0.57,1.22,-24.6,-9.69,-8.79
-0.55,-0.53,1.19,-13.98,-6.46,-7.63
-0.51,-0.54,1.2,-0.61,-7.62,-2.81
-0.53,-0.55,1.21,-1.04,-4.26,1.77
-0.53,-0.55,1.22,4.21,-9.75,-3.97
-0.51,-0.54,1.21,1.28,-1.45,-4.03
-0.52,-0.53,1.21,2.14,4.9,1.95
-0.5,-0.05,1.78,-9.03,-63.59,77.21
-0.43,-0.73,0.99,-8.67,-97.83,61.58
-0.31,-0.73,1.04,10.01,-16.89,12.94
-0.35,-0.55,1.22,3.05,8.44,-6.17
-0.37,-0.58,1.17,1.83,-5.91,0.91
-0.29,-0.59,1.1,1.59,5.51,-2.93
-0.38,-0.6,1.19,5.31,-0.84,1.83
-0.32,-0.61,1.12,1.89,0.56,-0.49
-0.36,-0.59,1.16,0.92,3.8,-1.65
-0.34,-0.59,1.13,0.98,0.26,-0.12
