accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.47,-0.71,1.38,3.79,-10.74,-6.5
-0.45,-0.72,1.36,3.12,-11.22,-7.05
-0.47,-0.71,1.37,4.52,-7.93,-9.13
-0.47,-0.71,1.38,5.8,-6.1,-12.85
-0.49,-0.7,1.37,4.82,-5.36,-14.26
-0.5,-0.7,1.36,2.32,-22.03,-6.26
-0.48,-0.72,1.38,0.25,-23.67,-4.18
-0.46,-0.71,1.38,0.8,-29.05,-7.05
-0.49,-0.71,1.38,-0.36,-16.78,-7.24
-0.46,-0.71,1.38,-3.42,-4.63,-9.01
-0.56,-0.49,1.19,8.0,-12.99,-5.77
-0.48,-0.72,1.38,20.75,-26.85,-8.7
-0.47,-0.68,1.35,20.82,-29.9,-14.26
-0.43,-0.71,1.36,16.24,-29.96,-14.93
-0.46,-0.71,1.37,4.82,-15.62,-14.07
-0.43,-0.68,1.32,-18.61,-16.72,-8.46
-0.47,-0.69,1.34,-12.94,-22.88,-4.12
-0.44,-0.69,1.35,3.97,-13.54,-5.65
-0.45,-0.7,1.36,2.02,-8.42,-7.24
-0.49,-0.7,1.37,13.8,-16.35,-17.86
-0.47,-0.69,1.35,16.18,-11.47,-13.4
-0.49,-0.71,1.37,18.8,-20.62,-12.73
-0.46,-0.69,1.34,9.28,-14.95,-10.96
-0.45,-0.69,1.32,-6.1,-15.19,-14.62
-0.48,-0.7,1.36,-11.11,-12.69,-6.26
-0.48,-0.66,1.32,-8.73,-20.99,-3.09
-0.46,-0.67,1.33,0.8,-21.11,-0.83
-0.47,-0.7,1.36,2.2,-9.03,-6.08
-0.45,-0.69,1.36,3.12,-7.01,-5.59
-0.38,-0.6,1.5,37.05,-5.73,7.9
-0.49,-0.8,1.32,-8.24,-50.96,31.46
-0.36,-0.8,1.24,1.65,-39.79,9.79
-0.39,-0.72,1.39,2.14,-19.34,-8.21
-0.4,-0.73,1.33,3.05,-12.99,-7.18
-0.34,-0.71,1.33,2.02,-10.8,-9.13
