accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.29,-0.68,1.25,1.33,1.19,-1.48
-0.29,-0.66,1.26,1.69,1.74,0.11
-0.29,-0.67,1.26,0.6,1.31,-1.6
-0.3,-0.67,1.27,2.37,3.45,-3.98
-0.3,-0.67,1.26,1.57,9.73,-5.51
-0.34,-0.63,1.3,-7.95,3.2,0.11
-0.32,-0.66,1.28,-6.79,-2.35,-3.01
-0.32,-0.66,1.27,-6.18,-6.2,-5.39
-0.32,-0.67,1.28,-0.81,-12.24,-1.85
-0.32,-0.67,1.29,-7.52,4.18,-2.95
-0.33,-0.67,1.29,-3.31,-0.89,-3.01
-0.36,-0.66,1.28,11.46,-22.86,-10.03
-0.29,-0.65,1.28,10.79,-18.34,-21.93
-0.27,-0.68,1.25,0.11,-2.23,-11.8
-0.32,-0.65,1.27,4.81,3.87,-1.85
-0.35,-0.64,1.23,-4.16,15.16,3.71
-0.39,-0.73,1.21,-9.47,-27.38,18.91
-0.26,-0.68,1.21,-2.94,3.75,-4.53
-0.35,-0.67,1.23,-0.93,13.64,-12.22
-0.35,-0.66,1.28,-12.22,9.0,-3.8
-0.33,-0.67,1.29,-8.99,3.2,-2.03
-0.35,-0.67,1.29,-4.65,3.45,-3.07
-0.36,-0.69,1.33,15.31,-14.87,7.98
-0.32,-0.63,1.22,26.72,-22.07,12.8
-0.34,-0.69,1.33,33.13,-32.93,12.44
-0.32,-0.66,1.27,5.66,-10.17,5.84
-0.31,-0.65,1.26,19.88,-20.97,11.4
-0.37,-0.56,1.31,-25.77,-38.61,39.6
-0.19,-0.72,1.14,-13.2,-3.51,11.28
-0.23,-0.67,1.21,2.43,-0.16,-4.1
-0.27,-0.67,1.25,-0.08,-3.82,-3.07
-0.26,-0.65,1.25,-2.03,-1.07,-1.72
-0.26,-0.67,1.25,-0.5,1.25,-0.56
-0.28,-0.65,1.26,-1.11,1.19,0.29
-0.26,-0.7,1.24,-0.26,1.49,1.51
-0.27,-0.67,1.27,0.17,3.02,-1.42
-0.28,-0.68,1.25,1.27,5.22,-1.72
