accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.33,-0.7,1.21,-2.23,10.99,-2.72
-0.33,-0.69,1.21,-3.45,11.3,-2.9
-0.34,-0.7,1.21,-2.9,13.0,-4.0
-0.33,-0.69,1.2,-1.98,16.97,-6.38
-0.34,-0.69,1.21,-1.98,15.93,-8.21
-0.34,-0.7,1.19,0.82,10.75,-7.36
-0.37,-0.66,1.25,-7.97,6.72,-5.89
-0.35,-0.7,1.22,-10.83,7.82,-4.37
-0.36,-0.67,1.19,-6.5,1.41,-6.75
-0.33,-0.69,1.21,-7.6,6.72,-5.46
-0.34,-0.69,1.22,-9.74,13.92,-4.0
-0.35,-0.66,1.18,13.33,-17.76,-0.09
-0.34,-0.68,1.19,19.07,-24.96,-2.9
-0.31,-0.68,1.18,16.02,-17.21,-6.81
-0.27,-0.68,1.17,1.68,1.65,-12.12
-0.27,-0.69,1.17,-23.77,20.51,-9.43
-0.31,-0.67,1.17,-30.79,30.7,-4.73
-0.34,-0.63,1.14,-19.44,25.82,-6.81
-0.33,-0.68,1.2,-4.37,7.63,-2.78
-0.35,-0.69,1.21,-10.71,24.6,-7.23
-0.33,-0.65,1.16,18.65,-16.78,-9.0
-0.3,-0.65,1.15,18.03,-5.24,-9.68
-0.29,-0.64,1.13,13.82,10.93,-5.71
-0.32,-0.65,1.15,16.39,18.86,1.37
-0.31,-0.64,1.13,13.33,23.62,4.06
-0.37,-0.65,1.18,6.87,19.9,6.62
-0.31,-0.67,1.17,-2.96,-0.97,10.16
-0.32,-0.62,1.12,-14.38,-6.28,5.52
-0.31,-0.63,1.12,-16.51,-5.79,-0.28
-0.34,-0.67,1.2,-17.73,-0.12,-9.55
-0.29,-0.65,1.15,-16.69,8.43,-9.43
-0.31,-0.64,1.15,-24.08,-7.56,-20.17
-0.32,-0.66,1.17,-13.95,1.77,-13.03
-0.26,-0.66,1.13,-7.23,2.63,-8.64
-0.3,-0.67,1.17,-2.66,8.24,-5.28
-0.3,-0.67,1.18,-6.99,28.26,-1.13
-0.31,-0.39,1.49,-16.45,-20.08,49.59
-0.22,-0.81,1.03,-10.1,-28.93,32.44
-0.17,-0.77,1.08,-2.9,7.82,4.79
-0.24,-0.68,1.22,-3.14,17.89,-5.71
-0.2,-0.69,1.12,-2.96,13.62,0.03
-0.2,-0.68,1.16,-4.37,20.88,-3.76
-0.2,-0.7,1.14,-3.94,14.04,-1.07
-0.23,-0.7,1.16,-3.45,20.27,-2.47
-0.21,-0.69,1.17,-4.3,19.96,-1.92
