accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.34,-0.66,1.19,0.44,-3.04,2.03
-0.33,-0.66,1.19,1.18,-3.04,0.38
-0.36,-0.66,1.18,2.21,-7.25,0.44
-0.36,-0.66,1.18,3.07,-2.18,-2.12
-0.33,-0.65,1.17,3.62,-5.18,-1.57
-0.35,-0.65,1.17,4.65,0.99,-3.16
-0.34,-0.65,1.15,6.79,18.08,-8.9
-0.33,-0.66,1.19,-11.46,5.08,-5.23
-0.41,-0.64,1.21,-5.05,4.9,-2.85
-0.38,-0.65,1.2,-3.22,-3.77,-2.73
-0.38,-0.65,1.2,3.8,-24.28,8.07
-0.32,-0.63,1.16,-3.1,-23.06,-17.01
-0.28,-0.65,1.16,0.75,-10.06,-3.16
-0.39,-0.64,1.2,-3.04,4.71,-0.11
-0.37,-0.64,1.19,4.78,1.72,4.53
-0.36,-0.65,1.2,13.81,-5.85,12.77
-0.44,-0.66,1.24,4.59,-9.94,8.19
-0.37,-0.64,1.18,2.88,-10.18,4.04
-0.42,-0.65,1.22,-7.8,-16.41,-19.7
-0.28,-0.63,1.14,-7.8,0.01,-11.52
-0.36,-0.63,1.17,-3.83,4.65,0.08
-0.37,-0.63,1.17,-10.18,14.48,-2.36
-0.37,-0.62,1.17,9.11,-10.06,-5.29
-0.39,-0.62,1.16,12.28,-12.13,-5.84
-0.35,-0.6,1.15,14.73,2.09,4.9
-0.35,-0.6,1.13,13.02,10.75,9.66
-0.4,-0.62,1.17,11.86,14.97,12.65
-0.41,-0.63,1.17,3.49,-5.05,14.36
-0.38,-0.62,1.18,-1.45,-16.59,10.76
-0.41,-0.62,1.19,-12.31,-11.28,2.7
-0.44,-0.61,1.2,-21.83,-17.14,-13.84
-0.37,-0.6,1.14,-31.72,-21.11,-32.09
-0.29,-0.6,1.12,-6.7,-20.25,-8.47
-0.38,-0.63,1.18,1.85,-14.15,4.35
-0.36,-0.63,1.17,-0.47,-4.02,6.97
-0.36,-0.64,1.19,-2.36,-0.17,1.85
-0.36,-0.63,1.18,-0.47,-2.86,-0.9
-0.36,-0.63,1.18,2.7,8.86,6.61
-0.38,-0.62,1.17,5.08,4.28,8.5
-0.38,-0.66,1.18,-4.75,-42.9,24.0
-0.28,-0.68,1.07,-13.05,-11.52,3.98
-0.34,-0.65,1.18,0.14,-13.29,-1.88
-0.34,-0.66,1.15,-2.49,-9.51,3.92
-0.31,-0.64,1.17,-3.83,3.31,1.97
